nombre,latitud,lon,troncal,cluster
Campín - UAN,4.64539603,-74.07869912999999,NQS,1
San Diego,4.61089733,-74.0714967,CR 7-10,1
Ricaurte - NQS,4.6116862,-74.09386888,NQS,1
Quirigua,4.70674385,-74.1087256,CALLE 80,2
Calle 40 Sur,4.57585399,-74.12009368000001,CARACAS,3
Niza - Calle 127,4.71193004,-74.07228151999999,SUBA,0
Corferias,4.6343141999999995,-74.08969371,CALLE 26,1
CDS - Carrera 32,4.616132690000001,-74.09395282,AMERICAS,1
Ciudad Universitaria - Lotería de Bogotá,4.63087977,-74.08352729,CALLE 26,1
Universidad Nacional,4.637118790000001,-74.07932113,NQS,1
Tercer Milenio,4.59812707,-74.08383764,CARACAS,1
Concejo de Bogotá,4.6259828899999995,-74.08028041,CALLE 26,1
NQS - Calle 38A S,4.59379207,-74.123754,NQS,3
7 de Agosto,4.657290679999999,-74.07766289,NQS,2
Zona Industrial,4.62032239,-74.09868859000001,AMERICAS,1
León XIII,4.59217919,-74.19313846,SOACHA,4
Paloquemao,4.616916450000001,-74.08954451,NQS,1
Terreros - Hospital Cardio Vascular,4.5889774,-74.19953048,SOACHA,4
Escuela Militar,4.6754557199999995,-74.06966011,CALLE 80,2
Ricaurte - CL 13,4.61301485,-74.09048002,AMERICAS,1
Restrepo,4.58183392,-74.10142022,CARACAS,3
Prado,4.7145599,-74.05256715,AUTONORTE,0
Virrey,4.67599399,-74.05901243,AUTONORTE,2
Toberin - Foundever,4.74618812,-74.04726932,AUTONORTE,0
Pepe Sierra,4.69812498,-74.05529767,AUTONORTE,2
Calle 100 - Marketmedios,4.68394667,-74.05769590999999,AUTONORTE,2
Alcalá – Colegio S. Tomás Dominicos,4.7211573,-74.05145388,AUTONORTE,0
Calle 146,4.7308933600000005,-74.04982164,AUTONORTE,0
Calle 127,4.7046405,-74.05422922999999,AUTONORTE,0
Calle 45 - American School Way,4.6314516800000005,-74.06786884,CARACAS,1
Carrera 53,4.68182095,-74.07740128,CALLE 80,2
AV. 1 Mayo,4.57693711,-74.09370652,CR 7-10,3
De La Sabana,4.60543098,-74.0818916,AMERICAS,1
La Despensa,4.59460134,-74.18811596,SOACHA,4
Calle 72,4.65823884,-74.06206854,CARACAS,2
Centro Memoria,4.6204659,-74.07631258,CALLE 26,1
Carrera 43 - Comapan,4.6228051699999995,-74.10141668,AMERICAS,1
Consuelo,4.5602249200000005,-74.12386901,CARACAS,3
Comuneros,4.6042459000000004,-74.09985692000001,NQS,1
Calle 22,4.61169462,-74.07468354000001,CARACAS,1
